Site ,Sample,Stream Position,Coordinates,Coordinates,Temperature,Conductivity ,DO (mg/l),PH,Salinity ppt,DO percentage,Turbidity,Depth feet,Location,Elevation (ft),Month ,Day,Year
KRP-01-2022,1,Downstream Left,32.52846333,-93.74915333,27.7,0.35,3.52,8.19,0.17,52,91.3,5,Natalbany 3,180,6,1,2022
KRP-01-2022,2,Center,32.528115,-93.749385,27.69,0.356,3.17,8.73,0.17,49.7,63.3,8,Natalbany 3,154,6,1,2022
KRP-01-2022,3,Downstream Right,32.52853167,-93.74933667,27.65,0.358,3.54,8.7,0.17,54.2,68,14,Natalbany 3,185,6,1,2022
KRP-02-2022,1,Downstream Left,32.54568833,-93.72641167,27.89,0.374,3.21,8.72,0.18,49.4,103,20,Stoner 2,179,6,1,2022
KRP-02-2022,2,Center,32.54566667,-93.72682667,27.86,0.377,3.32,8.98,0.18,50.6,79.8,12,Stoner 2,185,6,2,2022
KRP-02-2022,3,Downstream Right,32.54575,-93.72735,27.86,0.377,3.31,8.99,0.18,51.1,111,8,Stoner 2 ,190,6,2,2022
KRP-03-2022,1,Downstream Right,32.45182167,-93.681165,27.9,0.367,3.33,9.12,0.18,51.3,42.9,,Jimmy Davis Bridge; downstream 1/2 mile,,6,2,2022
KRP-03-2022,2,Center,32.451625,-93.68067167,27.97,0.372,5,9.01,0.18,56.6,40.2,19,Jimmy Davis Bridge; downstream 1/2 mile,,6,2,2022
KRP-03-2022,3,Downstream Left,32.45072667,-93.67970667,28.02,0.378,5.15,9.16,0.18,64.1,43,,Jimmy Davis Bridge; downstream 1/2 mile,,6,2,2022
KRP-04-2022,1,Downstream Left,32.43983667,-93.68394667,27.87,0.373,3.44,9.64,0.18,51.3,63.2,3,Jimmy Davis Bridge; downstream 2 km,218,6,2,2022
KRP-04-2022,2,Center,32.439715,-93.68525833,27.97,0.371,4.11,9.51,0.18,57.3,46.9,22,Jimmy Davis Bridge; downstream 2 km,,6,2,2022
KRP-04-2022,3,Downstream Right,32.43879167,-93.68593,27.98,0.375,5.13,9.43,0.18,62.1,43.5,4,Jimmy Davis Bridge; downstream 2 km,221,6,2,2022
KRP-05-2022,1,Downstream Left,32.55735833,-93.76659333,28.97,0.372,3.51,9.36,0.18,54.4,98,2,I222 Bridge I,,6,2,2022
KRP-05-2022,2,Center,32.55750667,-93.76713833,28,0.367,5,9.22,0.18,56.5,91.3,25,I222 Bridge I,,6,2,2022
KRP-05-2022,3,Downstream Right,32.55737833,-93.76772833,28.06,0.365,3.51,9.13,0.18,53.5,56.2,17,I222 Bridge I,,6,2,2022
KRP-06-2022,1,Downstream Left,32.55614167,-93.76676,28.31,0.359,3.76,8.97,0.18,59,48.3,5,I222 Bridge II,,6,2,2022
KRP-06-2022,2,Center,32.55622667,-93.76728667,28.01,0.362,3.83,8.81,0.18,58.4,78.1,21,I222 Bridge II,,6,2,2022
KRP-06-2022,3,Downstream Right,32.55606667,-93.76794167,28.08,0.364,3.67,8.86,0.18,54.8,53.4,9,I222 Bridge II,,6,2,2022
KRP-07-2022,1,Downstream Left,32.54847333,-93.75843667,29.9,0.375,4.9,9.2,0.18,65.3,106,2,1km DS I222,,6,2,2022
KRP-07-2022,2,Center,32.54779,-93.75833167,28.2,0.367,5.26,8.83,0.18,67.4,67.3,13,1km DS I223,,6,2,2022
KRP-07-2022,3,Downstream Right,32.54701333,-93.75832167,28.26,0.368,5.21,9.25,0.18,56.8,45.8,9,1km DS I224,,6,2,2022
