"","Site","Sample","Stream.Position","Coordinates","Coordinates.1","Month"
"1","TG-43-2022",1,"Downstream Left",32.72371,-92.03827,8
"2","TG-43-2022",2,"Center",32.723837,-92.038347,8
"3","TG-43-2022",3,"Downstream Right",32.723793,-92.038438,8
"4","TG-44-2022",1,"Downstream Right",32.727847,-92.000132,8
"5","TG-44-2022",2,"Center",32.737869,-92.000066,8
"6","TG-44-2022",3,"Downstream Left",32.737784,-92.000035,8
"7","TG-45-2022",1,"Downstream Left",32.731001,-92.031112,8
"8","TG-45-2022",2,"Center",32.731004,-92.031155,8
"9","TG-45-2022",3,"Downstream Right",32.730904,-92.031272,8
"10","TG-46-2022",1,"Downstream Left",32.990159,-91.655416,8
"11","TG-46-2022",2,"Center",32.990232,91.65561,8
"12","TG-46-2022",3,"Downstream Right",32.990203,-91.655618,8
"13","TG-47-2022",1,"Downstream Right",32.900876,-91.78284,8
"14","TG-47-2022",2,"Center",32.900707,-91.782833,8
"15","TG-47-2022",3,"Downstream Left",32.900612,-91.782803,8
"16","TG-48-2022",1,"Downstream Right",32.873424,-91.868702,8
"17","TG-48-2022",2,"Center",32.873335,-91.868748,8
"18","TG-48-2022",3,"Downstream Left",32.873219,-91.868848,8
