"","Site","Sample","Stream.Position","Coordinates","Coordinates.1","Month"
"1","KRP-01-2022",1,"Downstream Left",32.52846333,-93.74915333,6
"2","KRP-01-2022",2,"Center",32.528115,-93.749385,6
"3","KRP-01-2022",3,"Downstream Right",32.52853167,-93.74933667,6
"4","KRP-02-2022",1,"Downstream Left",32.54568833,-93.72641167,6
"5","KRP-02-2022",2,"Center",32.54566667,-93.72682667,6
"6","KRP-02-2022",3,"Downstream Right",32.54575,-93.72735,6
"7","KRP-03-2022",1,"Downstream Right",32.45182167,-93.681165,6
"8","KRP-03-2022",2,"Center",32.451625,-93.68067167,6
"9","KRP-03-2022",3,"Downstream Left",32.45072667,-93.67970667,6
"10","KRP-04-2022",1,"Downstream Left",32.43983667,-93.68394667,6
"11","KRP-04-2022",2,"Center",32.439715,-93.68525833,6
"12","KRP-04-2022",3,"Downstream Right",32.43879167,-93.68593,6
"13","KRP-05-2022",1,"Downstream Left",32.55735833,-93.76659333,6
"14","KRP-05-2022",2,"Center",32.55750667,-93.76713833,6
"15","KRP-05-2022",3,"Downstream Right",32.55737833,-93.76772833,6
"16","KRP-06-2022",1,"Downstream Left",32.55614167,-93.76676,6
"17","KRP-06-2022",2,"Center",32.55622667,-93.76728667,6
"18","KRP-06-2022",3,"Downstream Right",32.55606667,-93.76794167,6
"19","KRP-07-2022",1,"Downstream Left",32.54847333,-93.75843667,6
"20","KRP-07-2022",2,"Center",32.54779,-93.75833167,6
"21","KRP-07-2022",3,"Downstream Right",32.54701333,-93.75832167,6
"22","KRP-08-2022",1,"Downstream Left",31.98397167,-93.35040333,6
"23","KRP-08-2022",2,"Center",31.98382,-93.35149167,6
"24","KRP-08-2022",3,"Downstream Right",31.98383833,-93.35182833,6
"25","KRP-09-2022",1,"Downstream Left",31.96715333,-93.32769167,6
"26","KRP-09-2022",2,"Center",31.96638667,-93.32777833,6
"27","KRP-09-2022",3,"Downstream Right",31.96438833,-93.32664667,6
"28","TG-10-2022",1,"Downstream Right",31.313007,-92.443605,6
"29","TG-10-2022",2,"Center",31.313937,-92.442993,6
"30","TG-10-2022",3,"Downstream Left",31.314175,-92.442428,6
"31","TG-11-2022",1,"Downstream Right",31.28657,-92.400394,6
"32","TG-11-2022",2,"Center",31.286456,-92.400052,6
"33","TG-11-2022",3,"Downstream Left",31.286192,-92.399625,6
"34","TG-12-2022",1,"Downstream Right",31.210568,-92.355912,6
"35","TG-12-2022",2,"Center",31.211363,-92.355642,6
"36","TG-12-2022",3,"Downstream Left",31.21264,-92.35534,6
"37","TG-13-2022",1,"Downstream Right",31.200737,-92.3394,6
"38","TG-13-2022",2,"Center",31.201006,-92.338989,6
"39","TG-13-2022",3,"Downstream Left",31.201866,-92.337521,6
"40","TG-14-2022",1,"Downstream Right",31.290945,-92.398591,6
"41","TG-14-2022",2,"Center",31.291001,-92.398448,6
"42","TG-14-2022",3,"Downstream Left",31.291227,-92.398025,6
"43","TG-15-2022",1,"Downstream Right",31.179634,-92.279026,6
"44","TG-15-2022",2,"Center",31.180655,-92.278727,6
"45","TG-15-2022",3,"Downstream Left",31.181922,-92.277677,6
"46","TG-16-2022",1,"Downstream Left",31.139357,-92.257076,6
"47","TG-16-2022",2,"Center",31.138785,-92.257204,6
"48","TG-16-2022",3,"Downstream Right",31.138215,-92.256879,6
"49","TG-17-2022",1,"Downstream Right",31.120822,-92.207915,6
"50","TG-17-2022",2,"Center",31.121455,-92.208157,6
"51","TG-17-2022",3,"Downstream Left",31.12293,-92.208597,6
"52","TG-18-2022",1,"Downstream Right",31.182351,-92.169831,6
"53","TG-18-2022",2,"Center",31.182807,-92.170496,6
"54","TG-18-2022",3,"Downstream Left",31.183552,-92.171052,6
"55","TG-19-2022",1,"Downstream Right",31.210488,-92.124886,6
"56","TG-19-2022",2,"Center",31.210731,-92.124744,6
"57","TG-19-2022",3,"Downstream Left",31.211123,-92.124922,6
"58","TG-20-2022",1,"Downstream Left",31.389769,-92.646255,6
"59","TG-20-2022",2,"Center",31.388392,-92.645929,6
"60","TG-20-2022",3,"Downstream Right",31.387958,-92.646158,6
"61","TG-21-2022",1,"Downstream Left",31.385357,-92.634416,6
"62","TG-21-2022",2,"Center",31.384702,-92.63536,6
"63","TG-21-2022",3,"Downstream Right",31.384461,-92.636403,6
"64","TG-22-2022",1,"Downstream Left",30.672258,-93.646275,6
"65","TG-22-2022",2,"Center",30.672765,-93.646404,6
"66","TG-22-2022",3,"Downstream Right",30.673155,-93.646493,6
"67","TG-23-2022",1,"Downstream Right",30.693166,-93.621114,6
"68","TG-23-2022",2,"Center",30.692978,-93.620648,6
"69","TG-23-2022",3,"Downstream Left",30.693102,-93.620306,6
"70","TG-24-2022",1,"Downstream Left",30.707637,-93.61985,6
"71","TG-24-2022",2,"Center",30.707565,-93.620169,6
"72","TG-24-2022",3,"Downstream Right",30.707842,-93.620604,6
"73","TG-25-2022",1,"Downstream Right",30.719225,-93.616759,6
"74","TG-25-2022",2,"Center",30.719217,-93.616273,6
"75","TG-25-2022",3,"Downstream Left",30.719122,-93.616115,6
"76","TG-26-2022",1,"Downstream Left",30.741913,-93.618362,6
"77","TG-26-2022",2,"Center",30.741932,-93.618736,6
"78","TG-26-2022",3,"Downstream Right",30.741683,-93.619504,6
"79","TG-27-2022",1,"Downstream Left",30.844173,-93.568008,6
"80","TG-27-2022",2,"Center",30.844219,-93.568057,6
"81","TG-27-2022",3,"Downstream Right",30.844239,-93.568103,6
"82","TG-28-2022",1,"Downstream Left",30.868601,-93.50919,6
"83","TG-28-2022",2,"Center",30.868455,-93.509397,6
"84","TG-28-2022",3,"Downstream Right",30.868265,-93.509273,6
"85","TG-29-2022",1,"Downstream Left",30.903579,-93.395841,6
"86","TG-29-2022",2,"Center",30.904252,-93.396018,6
"87","TG-29-2022",3,"Downstream Right",30.904275,-93.396098,6
"88","TG-30-2022",1,"Downstream Right",31.064016,-93.51349,6
"89","TG-30-2022",2,"Center",31.064141,-93.519188,6
"90","TG-30-2022",3,"Downstream Left",31.064319,-93.518795,6
"91","TG-31-2022",1,"Downstream Left",31.891027,-93.915598,6
"92","TG-31-2022",2,"Center",31.890624,-93.915601,6
"93","TG-31-2022",3,"Downstream Right",31.890241,-93.915723,6
"94","TG-32-2022",1,"Downstream Left",31.892192,-93.929964,6
"95","TG-32-2022",2,"Center",31.892001,-93.929691,6
"96","TG-32-2022",3,"Downstream Right",31.891831,-93.929497,6
"97","TG-33-2022",1,"Downstream Right",31.903844,-93.922234,6
"98","TG-33-2022",2,"Center",31.90367,-93.921907,6
"99","TG-33-2022",3,"Downstream Left",31.903405,-93.921697,6
"100","TG-34-2022",1,"Downstream Left",31.911101,-93.951778,6
"101","TG-34-2022",2,"Center",31.910738,-93.951766,6
"102","TG-34-2022",3,"Downstream Right",31.910377,-93.951805,6
"103","TG-35-2022",1,"Downstream Left",31.930871,-93.978557,6
"104","TG-35-2022",2,"Center",31.930838,-93.978861,6
"105","TG-35-2022",3,"Downstream Right",31.930696,-93.979386,6
"106","TG-36-2022",1,"Downstream Right",31.919799,-93.968046,6
"107","TG-36-2022",2,"Center",31.920191,-93.96849,6
"108","TG-36-2022",3,"Downstream Left",31.920555,-93.968903,6
"109","TG-37-2022",1,"Downstream Right",31.997051,-94.041501,6
"110","TG-37-2022",2,"Center",31.997655,-94.041444,6
"111","TG-37-2022",3,"Downstream Left",31.997655,-94.041444,6
"112","TG-38-2022",1,"Downstream Right",31.99368,-94.042566,6
"113","TG-38-2022",2,"Center",31.993773,-94.042451,6
"114","TG-38-2022",3,"Downstream Left",31.993726,-94.042085,6
"115","TG-39-2022",1,"Downstream Left",31.995314,-94.030398,6
"116","TG-39-2022",2,"Center",31.995165,-94.030289,6
"117","TG-39-2022",3,"Downstream Right",31.995063,-94.030154,6
"118","TG-40-2022",1,"Downstream Left",31.990602,-94.021633,6
"119","TG-40-2022",2,"Center",31.99043,-94.02151,6
"120","TG-40-2022",3,"Downstream Right",31.990102,-94.021337,6
"121","TG-41-2022",1,"Downstream Right",31.991741,-94.018429,6
"122","TG-41-2022",2,"Center",31.991718,-94.017977,6
"123","TG-41-2022",3,"Downstream Left",31.991822,-94.017558,6
"124","TG-42-2022",1,"Downstream Right",31.971814,-94.006585,6
"125","TG-42-2022",2,"Center",31.971942,-94.006247,6
"126","TG-42-2022",3,"Downstream Left",31.971933,-94.005851,6
